ADDRESS,LATITUDE,LONGITUDE,WNVPRESENT
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,0
"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0
"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0
"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0
"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0
"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0
"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0
"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,0
"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0
"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0
"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0
"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0
"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0
"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,0
"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,0
"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0
"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0
"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,0
"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,0
"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0
"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,0
"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,0
"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,0
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0
"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0
"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0
"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0
"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0
"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0
"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0
"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0
"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0
"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,0
"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0
"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0
"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0
"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0
"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,0
"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0
"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0
"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0
"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0
"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0
"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,0
"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,0
"9100  W HIGGINS AVE, Chicago, IL",41.981964,-87.812827,0
"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,0
"7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,0
"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.698457,0
"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,0
"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,0
"5000  S CENTRAL AVE, Chicago, IL",41.801498,-87.763416,0
"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,0
"1000  S VINCENNES, Chicago, IL",41.723195,-87.64997,0
"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,0
"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,0
"1100  S STATE ST, Chicago, IL",41.869216,-87.627561,0
"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,0
"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,0
"4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,0
"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,0
"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,0
"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,0
"4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,0
"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114,-87.629798,0
"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,0
"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,0
"2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,0
"1500  W GRANVILLE AVE, Chicago, IL",41.994469,-87.667736,0
"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,0
"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,0
"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,0
"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,0
"2100  N LAWLER AVE, Chicago, IL",41.918705,-87.752329,0
"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,0
"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,0
"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725517,-87.614258,0
"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,0
"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,0
"4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,0
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0
"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,0
"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,0
"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0
"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0
"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0
"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0
"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0
